Adapted start,Adapted end,Classification,,,,,
97.75,98.25,traffic,,,,,
98.25,98.75,traffic,,,,,
98.75,99.25,traffic,,,,,
99.25,99.75,traffic,,,,,
99.75,100.25,traffic,,,,,
100.25,100.75,traffic,,,,,
100.75,101.25,traffic,,,,,
101.25,101.75,traffic,,,,,
101.75,102.25,traffic,,,,,
102.25,102.75,traffic,,,,,
102.75,103.25,traffic,,,,,
103.25,103.75,traffic,,,,,
103.75,104.25,traffic,,,,,
104.25,104.75,traffic,,,,,
104.75,105.25,traffic,,,,,
105.25,105.75,traffic,,,,,
105.75,106.25,traffic,,,,,
106.25,106.75,traffic,,,,,
106.75,107.25,other,,,,,
107.25,107.75,other,,,,,
107.75,108.25,other,,,,,
108.25,108.75,traffic,,,,,
108.75,109.25,traffic,,,,,
109.25,109.75,other,,,,,
109.75,110.25,other,,,,,
110.25,110.75,other,,,,,
110.75,111.25,other,,,,,
111.25,111.75,other,,,,,
111.75,112.25,traffic,,,,,
112.25,112.75,traffic,,,,,
112.75,113.25,other,,,,,
113.25,113.75,other,,,,,
113.75,114.25,other,,,,,
114.25,114.75,other,,,,,
114.75,115.25,other,,,,,
115.25,115.75,other,,,,,
115.75,116.25,other,,,,,
116.25,116.75,traffic,,,,,
116.75,117.25,other,,,,,
117.25,117.75,traffic,,,,,
117.75,118.25,traffic,,,,,
118.25,118.75,traffic,,,,,
118.75,119.25,traffic,,,,,
119.25,119.75,other,,,,,
119.75,120.25,traffic,,,,,
120.25,120.75,traffic,,,,,
120.75,121.25,traffic,,,,,
121.25,121.75,traffic,,,,,
121.75,122.25,other,,,,,
122.25,122.75,traffic,,,,,
122.75,123.25,traffic,,,,,
123.25,123.75,traffic,,,,,
123.75,124.25,traffic,,,,,
124.25,124.75,other,,,,,
124.75,125.25,traffic,,,,,
125.25,125.75,traffic,,,,,
125.75,126.25,other,,,,,
126.25,126.75,other,,,,,
126.75,127.25,other,,,,,
127.25,127.75,other,,,,,
127.75,128.25,other,,,,,
128.25,128.75,other,,,,,
128.75,129.25,traffic,,,,,
129.25,129.75,other,,,,,
129.75,130.25,traffic,,,,,
130.25,130.75,traffic,,,,,
130.75,131.25,traffic,,,,,
131.25,131.75,traffic,,,,,
131.75,132.25,other,,,,,
132.25,132.75,other,,,,,
132.75,133.25,traffic,,,,,
133.25,133.75,traffic,,,,,
133.75,134.25,traffic,,,,,
134.25,134.75,traffic,,,,,
134.75,135.25,traffic,,,,,
135.25,135.75,traffic,,,,,
135.75,136.25,other,,,,,
136.25,136.75,other,,,,,
136.75,137.25,other,,,,,
137.25,137.75,other,,,,,
137.75,138.25,other,,,,,
138.25,138.75,other,,,,,
138.75,139.25,other,,,,,
139.25,139.75,other,,,,,
139.75,140.25,traffic,,,,,
140.25,140.75,traffic,,,,,
140.75,141.25,traffic,,,,,
141.25,141.75,traffic,,,,,
141.75,142.25,other,,,,,
142.25,142.75,other,,,,,
142.75,143.25,traffic,,,,,
143.25,143.75,traffic,,,,,
143.75,144.25,other,,,,,
144.25,144.75,traffic,,,,,
144.75,145.25,traffic,,,,,
145.25,145.75,traffic,,,,,
145.75,146.25,traffic,,,,,
146.25,146.75,traffic,,,,,
146.75,147.25,traffic,,,,,
147.25,147.75,traffic,,,,,
147.75,148.25,traffic,,,,,
148.25,148.75,other,,,,,
148.75,149.25,other,,,,,
149.25,149.75,other,,,,,
149.75,150.25,traffic,,,,,
150.25,150.75,traffic,,,,,
150.75,151.25,traffic,,,,,
151.25,151.75,traffic,,,,,
151.75,152.25,other,,,,,
152.25,152.75,traffic,,,,,
152.75,153.25,traffic,,,,,
153.25,153.75,traffic,,,,,
153.75,154.25,other,,,,,
154.25,154.75,other,,,,,
154.75,155.25,other,,,,,
155.25,155.75,other,,,,,
155.75,156.25,other,,,,,
156.25,156.75,other,,,,,
156.75,157.25,other,,,,,
157.25,157.75,other,,,,,
157.75,158.25,traffic,,,,,
158.25,158.75,traffic,,,,,
158.75,159.25,traffic,,,,,
159.25,159.75,traffic,,,,,
159.75,160.25,traffic,,,,,
160.25,160.75,traffic,,,,,
160.75,161.25,other,,,,,
161.25,161.75,other,,,,,
161.75,162.25,other,,,,,
162.25,162.75,other,,,,,
162.75,163.25,traffic,,,,,
163.25,163.75,traffic,,,,,
163.75,164.25,traffic,,,,,
164.25,164.75,traffic,,,,,
164.75,165.25,traffic,,,,,
165.25,165.75,other,,,,,
165.75,166.25,traffic,,,,,
166.25,166.75,other,,,,,
166.75,167.25,other,,,,,
167.25,167.75,other,,,,,
167.75,168.25,other,,,,,
168.25,168.75,traffic,,,,,
168.75,169.25,other,,,,,
169.25,169.75,other,,,,,
169.75,170.25,other,,,,,
170.25,170.75,traffic,,,,,
170.75,171.25,traffic,,,,,
171.25,171.75,traffic,,,,,
171.75,172.25,traffic,,,,,
172.25,172.75,traffic,,,,,
172.75,173.25,traffic,,,,,
173.25,173.75,other,,,,,
173.75,174.25,traffic,,,,,
174.25,174.75,other,,,,,
174.75,175.25,other,,,,,
175.25,175.75,traffic,,,,,
175.75,176.25,traffic,,,,,
176.25,176.75,traffic,,,,,
176.75,177.25,traffic,,,,,
177.25,177.75,traffic,,,,,
177.75,178.25,traffic,,,,,
178.25,178.75,traffic,,,,,
178.75,179.25,traffic,,,,,
179.25,179.75,traffic,,,,,
179.75,180.25,other,,,,,
180.25,180.75,other,,,,,
180.75,181.25,other,,,,,
181.25,181.75,traffic,,,,,
181.75,182.25,traffic,,,,,
182.25,182.75,traffic,,,,,
