Adapted start,Adapted end,Classification,,,,,
422.75,423.25,traffic,,,,,
423.25,423.75,traffic,,,,,
423.75,424.25,traffic,,,,,
424.25,424.75,traffic,,,,,
424.75,425.25,traffic,,,,,
425.25,425.75,traffic,,,,,
425.75,426.25,traffic,,,,,
426.25,426.75,traffic,,,,,
426.75,427.25,traffic,,,,,
427.25,427.75,traffic,,,,,
427.75,428.25,traffic,,,,,
428.25,428.75,traffic,,,,,
428.75,429.25,traffic,,,,,
429.25,429.75,traffic,,,,,
429.75,430.25,traffic,,,,,
430.25,430.75,traffic,,,,,
430.75,431.25,traffic,,,,,
431.25,431.75,traffic,,,,,
431.75,432.25,traffic,,,,,
432.25,432.75,traffic,,,,,
432.75,433.25,traffic,,,,,
433.25,433.75,traffic,,,,,
433.75,434.25,traffic,,,,,
434.25,434.75,traffic,,,,,
434.75,435.25,traffic,,,,,
435.25,435.75,traffic,,,,,
435.75,436.25,traffic,,,,,
436.25,436.75,traffic,,,,,
436.75,437.25,traffic,,,,,
437.25,437.75,traffic,,,,,
437.75,438.25,other,,,,,
438.25,438.75,traffic,,,,,
438.75,439.25,traffic,,,,,
439.25,439.75,traffic,,,,,
439.75,440.25,traffic,,,,,
440.25,440.75,traffic,,,,,
440.75,441.25,traffic,,,,,
441.25,441.75,traffic,,,,,
441.75,442.25,other,,,,,
442.25,442.75,other,,,,,
442.75,443.25,traffic,,,,,
443.25,443.75,traffic,,,,,
443.75,444.25,other,,,,,
444.25,444.75,other,,,,,
444.75,445.25,traffic,,,,,
445.25,445.75,traffic,,,,,
445.75,446.25,traffic,,,,,
446.25,446.75,traffic,,,,,
446.75,447.25,traffic,,,,,
447.25,447.75,traffic,,,,,
447.75,448.25,traffic,,,,,
448.25,448.75,traffic,,,,,
448.75,449.25,traffic,,,,,
449.25,449.75,other,,,,,
449.75,450.25,traffic,,,,,
450.25,450.75,traffic,,,,,
450.75,451.25,traffic,,,,,
451.25,451.75,traffic,,,,,
451.75,452.25,other,,,,,
452.25,452.75,other,,,,,
452.75,453.25,traffic,,,,,
453.25,453.75,traffic,,,,,
453.75,454.25,traffic,,,,,
454.25,454.75,traffic,,,,,
454.75,455.25,traffic,,,,,
455.25,455.75,traffic,,,,,
455.75,456.25,traffic,,,,,
456.25,456.75,traffic,,,,,
456.75,457.25,traffic,,,,,
457.25,457.75,traffic,,,,,
457.75,458.25,traffic,,,,,
458.25,458.75,traffic,,,,,
458.75,459.25,traffic,,,,,
459.25,459.75,traffic,,,,,
459.75,460.25,traffic,,,,,
460.25,460.75,traffic,,,,,
460.75,461.25,traffic,,,,,
461.25,461.75,traffic,,,,,
461.75,462.25,other,,,,,
462.25,462.75,traffic,,,,,
462.75,463.25,traffic,,,,,
463.25,463.75,other,,,,,
463.75,464.25,other,,,,,
464.25,464.75,other,,,,,
464.75,465.25,traffic,,,,,
465.25,465.75,traffic,,,,,
465.75,466.25,traffic,,,,,
466.25,466.75,traffic,,,,,
466.75,467.25,traffic,,,,,
467.25,467.75,other,,,,,
467.75,468.25,traffic,,,,,
468.25,468.75,other,,,,,
468.75,469.25,traffic,,,,,
469.25,469.75,other,,,,,
469.75,470.25,traffic,,,,,
470.25,470.75,traffic,,,,,
470.75,471.25,traffic,,,,,
471.25,471.75,other,,,,,
471.75,472.25,traffic,,,,,
472.25,472.75,traffic,,,,,
472.75,473.25,traffic,,,,,
473.25,473.75,other,,,,,
473.75,474.25,other,,,,,
474.25,474.75,traffic,,,,,
474.75,475.25,traffic,,,,,
475.25,475.75,traffic,,,,,
475.75,476.25,traffic,,,,,
476.25,476.75,traffic,,,,,
476.75,477.25,traffic,,,,,
477.25,477.75,traffic,,,,,
477.75,478.25,traffic,,,,,
478.25,478.75,other,,,,,
478.75,479.25,other,,,,,
479.25,479.75,other,,,,,
479.75,480.25,other,,,,,
480.25,480.75,other,,,,,
480.75,481.25,traffic,,,,,
481.25,481.75,other,,,,,
481.75,482.25,other,,,,,
482.25,482.75,other,,,,,
482.75,483.25,other,,,,,
483.25,483.75,other,,,,,
483.75,484.25,other,,,,,
484.25,484.75,other,,,,,
484.75,485.25,other,,,,,
485.25,485.75,other,,,,,
485.75,486.25,other,,,,,
486.25,486.75,other,,,,,
486.75,487.25,other,,,,,
487.25,487.75,other,,,,,
487.75,488.25,other,,,,,
488.25,488.75,other,,,,,
488.75,489.25,other,,,,,
489.25,489.75,other,,,,,
489.75,490.25,other,,,,,
490.25,490.75,other,,,,,
490.75,491.25,other,,,,,
491.25,491.75,other,,,,,
491.75,492.25,traffic,,,,,
492.25,492.75,traffic,,,,,
492.75,493.25,other,,,,,
493.25,493.75,other,,,,,
493.75,494.25,traffic,,,,,
494.25,494.75,traffic,,,,,
494.75,495.25,traffic,494.88,494.75,495.68,495.75,bee
495.25,495.75,bee,,,,,
495.75,496.25,traffic,,,,,
496.25,496.75,traffic,,,,,
496.75,497.25,traffic,,,,,
497.25,497.75,other,,,,,
497.75,498.25,traffic,,,,,
498.25,498.75,traffic,,,,,
498.75,499.25,traffic,,,,,
499.25,499.75,traffic,,,,,
499.75,500.25,other,,,,,
500.25,500.75,traffic,,,,,
500.75,501.25,traffic,,,,,
501.25,501.75,traffic,,,,,
501.75,502.25,traffic,,,,,
502.25,502.75,traffic,,,,,
502.75,503.25,traffic,,,,,
503.25,503.75,traffic,,,,,
503.75,504.25,traffic,,,,,
504.25,504.75,traffic,,,,,
504.75,505.25,traffic,,,,,
505.25,505.75,traffic,,,,,
505.75,506.25,traffic,,,,,
506.25,506.75,other,,,,,
506.75,507.25,other,,,,,
507.25,507.75,other,,,,,
507.75,508.25,traffic,,,,,
508.25,508.75,traffic,,,,,
508.75,509.25,traffic,,,,,
509.25,509.75,other,,,,,
509.75,510.25,other,,,,,
510.25,510.75,traffic,,,,,
510.75,511.25,traffic,,,,,
511.25,511.75,traffic,,,,,
511.75,512.25,traffic,,,,,
512.25,512.75,traffic,,,,,
512.75,513.25,traffic,,,,,
513.25,513.75,traffic,,,,,
513.75,514.25,traffic,,,,,
514.25,514.75,traffic,,,,,
514.75,515.25,traffic,,,,,
515.25,515.75,traffic,,,,,
515.75,516.25,traffic,,,,,
516.25,516.75,traffic,,,,,
516.75,517.25,traffic,,,,,
517.25,517.75,traffic,,,,,
517.75,518.25,traffic,,,,,
518.25,518.75,traffic,,,,,
518.75,519.25,other,,,,,
519.25,519.75,traffic,,,,,
519.75,520.25,traffic,,,,,
520.25,520.75,other,,,,,
520.75,521.25,other,,,,,
521.25,521.75,traffic,,,,,
521.75,522.25,traffic,,,,,
522.25,522.75,traffic,,,,,
522.75,523.25,traffic,,,,,
523.25,523.75,traffic,,,,,
523.75,524.25,traffic,,,,,
524.25,524.75,traffic,,,,,
524.75,525.25,traffic,,,,,
525.25,525.75,traffic,,,,,
525.75,526.25,traffic,,,,,
526.25,526.75,traffic,,,,,
526.75,527.25,traffic,,,,,
527.25,527.75,traffic,,,,,
527.75,528.25,traffic,,,,,
528.25,528.75,traffic,,,,,
528.75,529.25,traffic,,,,,
529.25,529.75,traffic,,,,,
529.75,530.25,traffic,,,,,
530.25,530.75,traffic,,,,,
530.75,531.25,traffic,,,,,
531.25,531.75,traffic,,,,,
531.75,532.25,traffic,,,,,
532.25,532.75,traffic,,,,,
532.75,533.25,traffic,,,,,
533.25,533.75,traffic,,,,,
533.75,534.25,traffic,,,,,
534.25,534.75,traffic,,,,,
534.75,535.25,traffic,,,,,
535.25,535.75,traffic,,,,,
535.75,536.25,traffic,,,,,
536.25,536.75,other,,,,,
536.75,537.25,traffic,,,,,
537.25,537.75,traffic,,,,,
537.75,538.25,traffic,,,,,
538.25,538.75,traffic,,,,,
538.75,539.25,other,,,,,
539.25,539.75,other,,,,,
539.75,540.25,other,,,,,
540.25,540.75,other,,,,,
540.75,541.25,traffic,,,,,
541.25,541.75,traffic,,,,,
541.75,542.25,traffic,,,,,
542.25,542.75,traffic,,,,,
542.75,543.25,other,,,,,
543.25,543.75,other,,,,,
543.75,544.25,traffic,,,,,
544.25,544.75,traffic,,,,,
544.75,545.25,other,,,,,
545.25,545.75,other,,,,,
545.75,546.25,other,,,,,
546.25,546.75,traffic,,,,,
546.75,547.25,traffic,,,,,
547.25,547.75,traffic,,,,,
547.75,548.25,other,,,,,
548.25,548.75,other,,,,,
548.75,549.25,other,,,,,
549.25,549.75,traffic,,,,,
549.75,550.25,other,,,,,
550.25,550.75,other,,,,,
550.75,551.25,other,,,,,
551.25,551.75,other,,,,,
551.75,552.25,other,,,,,
552.25,552.75,other,,,,,
552.75,553.25,other,,,,,
553.25,553.75,traffic,,,,,
553.75,554.25,other,,,,,
554.25,554.75,other,,,,,
554.75,555.25,other,,,,,
555.25,555.75,other,,,,,
555.75,556.25,other,,,,,
556.25,556.75,other,,,,,
556.75,557.25,other,,,,,
557.25,557.75,other,,,,,
557.75,558.25,traffic,,,,,
558.25,558.75,traffic,,,,,
558.75,559.25,traffic,,,,,
559.25,559.75,other,,,,,
559.75,560.25,other,,,,,
560.25,560.75,other,,,,,
560.75,561.25,other,,,,,
561.25,561.75,traffic,,,,,
561.75,562.25,other,,,,,
562.25,562.75,other,,,,,
562.75,563.25,other,,,,,
563.25,563.75,traffic,,,,,
563.75,564.25,traffic,,,,,
564.25,564.75,other,,,,,
564.75,565.25,other,,,,,
565.25,565.75,other,,,,,
565.75,566.25,other,,,,,
566.25,566.75,other,,,,,
566.75,567.25,traffic,,,,,
567.25,567.75,traffic,,,,,
567.75,568.25,traffic,,,,,
568.25,568.75,traffic,,,,,
568.75,569.25,traffic,,,,,
569.25,569.75,traffic,,,,,
569.75,570.25,other,,,,,
570.25,570.75,other,,,,,
570.75,571.25,other,,,,,
571.25,571.75,traffic,,,,,
571.75,572.25,traffic,,,,,
572.25,572.75,other,,,,,
572.75,573.25,other,,,,,
573.25,573.75,other,,,,,
573.75,574.25,other,,,,,
574.25,574.75,other,,,,,
574.75,575.25,other,,,,,
575.25,575.75,other,,,,,
575.75,576.25,other,,,,,
576.25,576.75,other,,,,,
576.75,577.25,other,,,,,
577.25,577.75,other,,,,,
577.75,578.25,other,,,,,
578.25,578.75,traffic,,,,,
578.75,579.25,other,,,,,
579.25,579.75,other,,,,,
579.75,580.25,traffic,,,,,
580.25,580.75,other,,,,,
580.75,581.25,traffic,,,,,
581.25,581.75,traffic,,,,,
581.75,582.25,other,,,,,
582.25,582.75,other,,,,,
582.75,583.25,other,,,,,
583.25,583.75,other,,,,,
583.75,584.25,traffic,,,,,
584.25,584.75,other,,,,,
584.75,585.25,other,,,,,
585.25,585.75,other,,,,,
585.75,586.25,other,,,,,
586.25,586.75,other,,,,,
586.75,587.25,other,,,,,
587.25,587.75,other,,,,,
587.75,588.25,traffic,,,,,
588.25,588.75,other,,,,,
588.75,589.25,other,,,,,
589.25,589.75,other,,,,,
589.75,590.25,other,,,,,
590.25,590.75,other,,,,,
590.75,591.25,other,,,,,
591.25,591.75,other,,,,,
591.75,592.25,other,,,,,
592.25,592.75,other,,,,,
592.75,593.25,other,,,,,
593.25,593.75,other,,,,,
593.75,594.25,traffic,,,,,
594.25,594.75,other,,,,,
594.75,595.25,traffic,,,,,
595.25,595.75,traffic,,,,,
595.75,596.25,traffic,,,,,
596.25,596.75,traffic,,,,,
596.75,597.25,other,,,,,
597.25,597.75,traffic,,,,,
597.75,598.25,traffic,,,,,
598.25,598.75,other,,,,,
598.75,599.25,traffic,,,,,
599.25,599.75,traffic,,,,,
599.75,600.25,traffic,,,,,
600.25,600.75,traffic,,,,,
600.75,601.25,traffic,,,,,
601.25,601.75,traffic,,,,,
601.75,602.25,traffic,,,,,
602.25,602.75,traffic,,,,,
602.75,603.25,other,,,,,
603.25,603.75,other,,,,,
603.75,604.25,traffic,,,,,
604.25,604.75,traffic,,,,,
604.75,605.25,traffic,,,,,
605.25,605.75,traffic,,,,,
605.75,606.25,other,,,,,
606.25,606.75,other,,,,,
606.75,607.25,other,,,,,
607.25,607.75,other,,,,,
607.75,608.25,other,,,,,
608.25,608.75,other,,,,,
608.75,609.25,other,,,,,
609.25,609.75,other,,,,,
609.75,610.25,traffic,,,,,
610.25,610.75,traffic,,,,,
610.75,611.25,traffic,,,,,
611.25,611.75,traffic,,,,,
611.75,612.25,traffic,,,,,
612.25,612.75,other,,,,,
612.75,613.25,other,,,,,
613.25,613.75,traffic,,,,,
613.75,614.25,traffic,,,,,
614.25,614.75,traffic,,,,,
614.75,615.25,traffic,,,,,
615.25,615.75,traffic,,,,,
615.75,616.25,traffic,,,,,
616.25,616.75,traffic,,,,,
616.75,617.25,traffic,,,,,
617.25,617.75,traffic,,,,,
617.75,618.25,traffic,,,,,
618.25,618.75,traffic,,,,,
618.75,619.25,other,,,,,
619.25,619.75,traffic,,,,,
619.75,620.25,traffic,,,,,
620.25,620.75,traffic,,,,,
620.75,621.25,traffic,,,,,
621.25,621.75,traffic,,,,,
621.75,622.25,traffic,,,,,
622.25,622.75,traffic,,,,,
622.75,623.25,traffic,,,,,
623.25,623.75,traffic,,,,,
623.75,624.25,traffic,,,,,
624.25,624.75,traffic,,,,,
624.75,625.25,traffic,,,,,
625.25,625.75,traffic,,,,,
625.75,626.25,other,,,,,
626.25,626.75,other,,,,,
626.75,627.25,traffic,,,,,
627.25,627.75,other,,,,,
627.75,628.25,traffic,,,,,
628.25,628.75,traffic,,,,,
628.75,629.25,traffic,,,,,
629.25,629.75,traffic,,,,,
629.75,630.25,traffic,,,,,
630.25,630.75,traffic,,,,,
630.75,631.25,traffic,,,,,
631.25,631.75,traffic,,,,,
631.75,632.25,traffic,,,,,
632.25,632.75,other,,,,,
632.75,633.25,other,,,,,
633.25,633.75,other,,,,,
633.75,634.25,other,,,,,
634.25,634.75,traffic,,,,,
634.75,635.25,traffic,,,,,
635.25,635.75,other,,,,,
635.75,636.25,other,,,,,
636.25,636.75,other,,,,,
636.75,637.25,other,,,,,
637.25,637.75,other,,,,,
637.75,638.25,other,,,,,
638.25,638.75,other,,,,,
638.75,639.25,traffic,,,,,
639.25,639.75,traffic,,,,,
639.75,640.25,traffic,,,,,
640.25,640.75,traffic,,,,,
640.75,641.25,other,,,,,
641.25,641.75,other,,,,,
641.75,642.25,traffic,,,,,
642.25,642.75,other,,,,,
642.75,643.25,other,,,,,
643.25,643.75,other,,,,,
643.75,644.25,traffic,,,,,
644.25,644.75,other,,,,,
644.75,645.25,traffic,,,,,
645.25,645.75,other,,,,,
645.75,646.25,other,,,,,
646.25,646.75,other,,,,,
646.75,647.25,other,,,,,
647.25,647.75,other,,,,,
647.75,648.25,other,,,,,
648.25,648.75,other,,,,,
648.75,649.25,traffic,,,,,
649.25,649.75,traffic,,,,,
649.75,650.25,traffic,,,,,
650.25,650.75,other,,,,,
650.75,651.25,other,,,,,
651.25,651.75,other,,,,,
651.75,652.25,traffic,,,,,
652.25,652.75,other,,,,,
652.75,653.25,other,,,,,
653.25,653.75,other,,,,,
653.75,654.25,traffic,,,,,
654.25,654.75,traffic,,,,,
654.75,655.25,traffic,,,,,
655.25,655.75,traffic,,,,,
655.75,656.25,traffic,,,,,
656.25,656.75,traffic,,,,,
656.75,657.25,other,,,,,
657.25,657.75,traffic,,,,,
657.75,658.25,traffic,,,,,
658.25,658.75,traffic,,,,,
658.75,659.25,other,,,,,
659.25,659.75,other,,,,,
659.75,660.25,traffic,,,,,
660.25,660.75,other,,,,,
660.75,661.25,other,,,,,
661.25,661.75,other,,,,,
661.75,662.25,traffic,,,,,
662.25,662.75,traffic,,,,,
662.75,663.25,traffic,,,,,
663.25,663.75,traffic,,,,,
663.75,664.25,traffic,,,,,
664.25,664.75,other,,,,,
664.75,665.25,other,,,,,
665.25,665.75,other,,,,,
665.75,666.25,other,,,,,
666.25,666.75,traffic,,,,,
666.75,667.25,traffic,,,,,
667.25,667.75,traffic,,,,,
667.75,668.25,traffic,,,,,
668.25,668.75,traffic,,,,,
668.75,669.25,other,,,,,
669.25,669.75,traffic,,,,,
669.75,670.25,other,,,,,
670.25,670.75,traffic,,,,,
670.75,671.25,traffic,,,,,
671.25,671.75,traffic,,,,,
671.75,672.25,other,,,,,
672.25,672.75,traffic,,,,,
672.75,673.25,other,,,,,
673.25,673.75,traffic,,,,,
673.75,674.25,traffic,,,,,
674.25,674.75,traffic,,,,,
674.75,675.25,traffic,,,,,
675.25,675.75,other,,,,,
675.75,676.25,traffic,,,,,
676.25,676.75,traffic,,,,,
676.75,677.25,traffic,,,,,
677.25,677.75,traffic,,,,,
677.75,678.25,other,,,,,
678.25,678.75,other,,,,,
678.75,679.25,other,,,,,
679.25,679.75,other,,,,,
679.75,680.25,other,,,,,
680.25,680.75,other,,,,,
680.75,681.25,other,,,,,
681.25,681.75,other,,,,,
681.75,682.25,other,,,,,
682.25,682.75,other,,,,,
682.75,683.25,other,,,,,
683.25,683.75,other,,,,,
683.75,684.25,other,,,,,
684.25,684.75,other,,,,,
684.75,685.25,other,,,,,
685.25,685.75,other,,,,,
685.75,686.25,traffic,,,,,
686.25,686.75,traffic,,,,,
686.75,687.25,traffic,,,,,
687.25,687.75,traffic,,,,,
687.75,688.25,traffic,,,,,
688.25,688.75,traffic,,,,,
688.75,689.25,traffic,,,,,
689.25,689.75,traffic,,,,,
689.75,690.25,traffic,,,,,
690.25,690.75,traffic,,,,,
690.75,691.25,traffic,,,,,
691.25,691.75,traffic,,,,,
691.75,692.25,traffic,,,,,
692.25,692.75,traffic,,,,,
692.75,693.25,traffic,,,,,
693.25,693.75,traffic,,,,,
693.75,694.25,traffic,,,,,
694.25,694.75,traffic,,,,,
694.75,695.25,traffic,,,,,
695.25,695.75,traffic,,,,,
695.75,696.25,traffic,,,,,
696.25,696.75,traffic,,,,,
696.75,697.25,traffic,,,,,
697.25,697.75,traffic,,,,,
697.75,698.25,traffic,,,,,
698.25,698.75,traffic,,,,,
698.75,699.25,traffic,,,,,
699.25,699.75,traffic,,,,,
699.75,700.25,traffic,,,,,
700.25,700.75,traffic,,,,,
700.75,701.25,traffic,,,,,
701.25,701.75,traffic,,,,,
701.75,702.25,traffic,,,,,
702.25,702.75,traffic,,,,,
702.75,703.25,traffic,,,,,
703.25,703.75,traffic,,,,,
703.75,704.25,traffic,,,,,
704.25,704.75,traffic,,,,,
704.75,705.25,other,,,,,
705.25,705.75,other,,,,,
705.75,706.25,other,,,,,
706.25,706.75,other,,,,,
706.75,707.25,other,,,,,
707.25,707.75,traffic,,,,,
707.75,708.25,traffic,,,,,
708.25,708.75,traffic,,,,,
708.75,709.25,traffic,,,,,
709.25,709.75,traffic,,,,,
709.75,710.25,traffic,,,,,
710.25,710.75,other,,,,,
710.75,711.25,traffic,,,,,
711.25,711.75,traffic,,,,,
711.75,712.25,traffic,,,,,
712.25,712.75,traffic,,,,,
712.75,713.25,traffic,,,,,
713.25,713.75,traffic,,,,,
713.75,714.25,traffic,,,,,
714.25,714.75,traffic,,,,,
714.75,715.25,traffic,,,,,
715.25,715.75,traffic,,,,,
715.75,716.25,traffic,,,,,
716.25,716.75,traffic,,,,,
716.75,717.25,traffic,,,,,
717.25,717.75,other,,,,,
717.75,718.25,other,,,,,
718.25,718.75,traffic,,,,,
718.75,719.25,traffic,,,,,
719.25,719.75,traffic,,,,,
719.75,720.25,traffic,,,,,
720.25,720.75,traffic,,,,,
720.75,721.25,traffic,,,,,
721.25,721.75,traffic,,,,,
721.75,722.25,traffic,,,,,
722.25,722.75,traffic,,,,,
722.75,723.25,traffic,,,,,
723.25,723.75,traffic,,,,,
723.75,724.25,traffic,,,,,
724.25,724.75,traffic,,,,,
724.75,725.25,traffic,,,,,
725.25,725.75,traffic,,,,,
725.75,726.25,traffic,,,,,
726.25,726.75,traffic,,,,,
726.75,727.25,traffic,,,,,
727.25,727.75,traffic,,,,,
727.75,728.25,traffic,,,,,
728.25,728.75,traffic,,,,,
728.75,729.25,traffic,,,,,
729.25,729.75,traffic,,,,,
729.75,730.25,traffic,,,,,
730.25,730.75,traffic,,,,,
730.75,731.25,traffic,,,,,
731.25,731.75,traffic,,,,,
731.75,732.25,traffic,,,,,
732.25,732.75,traffic,,,,,
732.75,733.25,traffic,,,,,
733.25,733.75,traffic,,,,,
733.75,734.25,traffic,,,,,
734.25,734.75,traffic,,,,,
734.75,735.25,traffic,,,,,
735.25,735.75,traffic,,,,,
735.75,736.25,traffic,,,,,
736.25,736.75,traffic,,,,,
736.75,737.25,traffic,,,,,
737.25,737.75,traffic,,,,,
737.75,738.25,traffic,,,,,
738.25,738.75,traffic,,,,,
738.75,739.25,traffic,,,,,
739.25,739.75,traffic,,,,,
739.75,740.25,traffic,,,,,
740.25,740.75,traffic,,,,,
740.75,741.25,traffic,,,,,
741.25,741.75,traffic,,,,,
741.75,742.25,traffic,,,,,
742.25,742.75,other,,,,,
742.75,743.25,other,,,,,
743.25,743.75,other,,,,,
743.75,744.25,other,,,,,
744.25,744.75,traffic,,,,,
744.75,745.25,traffic,,,,,
745.25,745.75,traffic,,,,,
745.75,746.25,traffic,,,,,
746.25,746.75,other,,,,,
746.75,747.25,traffic,,,,,
747.25,747.75,other,,,,,
747.75,748.25,traffic,,,,,
748.25,748.75,traffic,,,,,
748.75,749.25,traffic,,,,,
749.25,749.75,traffic,,,,,
749.75,750.25,traffic,,,,,
750.25,750.75,traffic,,,,,
750.75,751.25,traffic,,,,,
751.25,751.75,traffic,,,,,
751.75,752.25,other,,,,,
752.25,752.75,other,,,,,
752.75,753.25,traffic,,,,,
753.25,753.75,traffic,,,,,
753.75,754.25,traffic,,,,,
754.25,754.75,traffic,,,,,
754.75,755.25,traffic,,,,,
755.25,755.75,traffic,,,,,
755.75,756.25,traffic,,,,,
756.25,756.75,traffic,,,,,
756.75,757.25,other,,,,,
757.25,757.75,other,,,,,
757.75,758.25,traffic,,,,,
758.25,758.75,other,,,,,
758.75,759.25,traffic,,,,,
759.25,759.75,traffic,,,,,
759.75,760.25,traffic,,,,,
760.25,760.75,traffic,,,,,
760.75,761.25,traffic,,,,,
761.25,761.75,traffic,,,,,
761.75,762.25,traffic,,,,,
762.25,762.75,traffic,,,,,
762.75,763.25,other,,,,,
763.25,763.75,other,,,,,
763.75,764.25,other,,,,,
764.25,764.75,other,,,,,
764.75,765.25,other,,,,,
765.25,765.75,traffic,,,,,
765.75,766.25,traffic,,,,,
766.25,766.75,other,,,,,
766.75,767.25,traffic,,,,,
767.25,767.75,traffic,,,,,
767.75,768.25,traffic,,,,,
768.25,768.75,other,,,,,
768.75,769.25,other,,,,,
769.25,769.75,traffic,,,,,
769.75,770.25,traffic,,,,,
770.25,770.75,traffic,,,,,
770.75,771.25,traffic,,,,,
771.25,771.75,traffic,,,,,
771.75,772.25,traffic,,,,,
772.25,772.75,traffic,,,,,
772.75,773.25,traffic,,,,,
773.25,773.75,traffic,,,,,
773.75,774.25,traffic,,,,,
774.25,774.75,traffic,,,,,
774.75,775.25,traffic,,,,,
775.25,775.75,traffic,,,,,
775.75,776.25,traffic,,,,,
776.25,776.75,traffic,,,,,
776.75,777.25,traffic,,,,,
777.25,777.75,traffic,,,,,
777.75,778.25,traffic,,,,,
778.25,778.75,traffic,,,,,
778.75,779.25,traffic,,,,,
779.25,779.75,traffic,,,,,
779.75,780.25,traffic,,,,,
780.25,780.75,traffic,,,,,
780.75,781.25,traffic,,,,,
781.25,781.75,traffic,,,,,
781.75,782.25,traffic,,,,,
782.25,782.75,traffic,,,,,
782.75,783.25,traffic,,,,,
783.25,783.75,traffic,,,,,
783.75,784.25,traffic,,,,,
784.25,784.75,traffic,,,,,
784.75,785.25,traffic,,,,,
785.25,785.75,traffic,,,,,
785.75,786.25,traffic,,,,,
786.25,786.75,traffic,,,,,
786.75,787.25,traffic,,,,,
787.25,787.75,traffic,,,,,
787.75,788.25,traffic,,,,,
788.25,788.75,traffic,,,,,
788.75,789.25,traffic,,,,,
789.25,789.75,traffic,,,,,
789.75,790.25,traffic,,,,,
790.25,790.75,traffic,,,,,
790.75,791.25,traffic,,,,,
791.25,791.75,traffic,,,,,
791.75,792.25,traffic,,,,,
792.25,792.75,traffic,,,,,
792.75,793.25,traffic,,,,,
793.25,793.75,traffic,,,,,
793.75,794.25,traffic,,,,,
794.25,794.75,other,,,,,
794.75,795.25,other,,,,,
795.25,795.75,other,,,,,
795.75,796.25,other,,,,,
796.25,796.75,traffic,,,,,
796.75,797.25,traffic,,,,,
797.25,797.75,traffic,,,,,
797.75,798.25,traffic,,,,,
798.25,798.75,other,,,,,
798.75,799.25,traffic,,,,,
799.25,799.75,other,,,,,
799.75,800.25,other,,,,,
800.25,800.75,other,,,,,
800.75,801.25,bee,,,,,
801.25,801.75,other,,,,,
801.75,802.25,other,,,,,
802.25,802.75,other,,,,,
802.75,803.25,other,,,,,
803.25,803.75,other,,,,,
803.75,804.25,other,,,,,
804.25,804.75,other,,,,,
804.75,805.25,traffic,,,,,
805.25,805.75,traffic,,,,,
805.75,806.25,traffic,,,,,
806.25,806.75,traffic,,,,,
806.75,807.25,traffic,,,,,
807.25,807.75,other,,,,,
807.75,808.25,other,,,,,
808.25,808.75,traffic,,,,,
808.75,809.25,traffic,,,,,
809.25,809.75,other,,,,,
809.75,810.25,traffic,,,,,
810.25,810.75,other,,,,,
810.75,811.25,other,,,,,
811.25,811.75,other,,,,,
811.75,812.25,other,,,,,
812.25,812.75,traffic,,,,,
812.75,813.25,other,,,,,
813.25,813.75,other,,,,,
813.75,814.25,traffic,,,,,
814.25,814.75,traffic,,,,,
814.75,815.25,traffic,,,,,
815.25,815.75,traffic,,,,,
815.75,816.25,traffic,,,,,
816.25,816.75,traffic,,,,,
816.75,817.25,traffic,,,,,
817.25,817.75,traffic,,,,,
817.75,818.25,traffic,,,,,
818.25,818.75,other,,,,,
818.75,819.25,other,,,,,
819.25,819.75,other,,,,,
819.75,820.25,other,,,,,
820.25,820.75,traffic,,,,,
820.75,821.25,traffic,,,,,
821.25,821.75,traffic,,,,,
821.75,822.25,traffic,,,,,
822.25,822.75,traffic,,,,,
822.75,823.25,other,,,,,
823.25,823.75,other,,,,,
823.75,824.25,traffic,,,,,
824.25,824.75,other,,,,,
824.75,825.25,other,,,,,
825.25,825.75,other,,,,,
825.75,826.25,other,,,,,
826.25,826.75,other,,,,,
826.75,827.25,other,,,,,
827.25,827.75,other,,,,,
827.75,828.25,other,,,,,
828.25,828.75,other,,,,,
828.75,829.25,other,,,,,
829.25,829.75,other,,,,,
829.75,830.25,other,,,,,
830.25,830.75,other,,,,,
830.75,831.25,other,,,,,
831.25,831.75,other,,,,,
831.75,832.25,other,,,,,
832.25,832.75,other,,,,,
832.75,833.25,other,,,,,
833.25,833.75,other,,,,,
833.75,834.25,other,,,,,
834.25,834.75,traffic,,,,,
834.75,835.25,traffic,,,,,
835.25,835.75,traffic,,,,,
835.75,836.25,other,,,,,
836.25,836.75,other,,,,,
836.75,837.25,other,,,,,
837.25,837.75,other,,,,,
837.75,838.25,traffic,,,,,
838.25,838.75,traffic,,,,,
838.75,839.25,traffic,,,,,
839.25,839.75,traffic,,,,,
839.75,840.25,other,,,,,
840.25,840.75,other,,,,,
840.75,841.25,traffic,,,,,
841.25,841.75,other,,,,,
841.75,842.25,traffic,,,,,
842.25,842.75,other,,,,,
842.75,843.25,other,,,,,
843.25,843.75,other,,,,,
843.75,844.25,other,,,,,
844.25,844.75,other,,,,,
844.75,845.25,other,,,,,
845.25,845.75,other,,,,,
845.75,846.25,other,,,,,
846.25,846.75,traffic,,,,,
846.75,847.25,traffic,,,,,
847.25,847.75,other,,,,,
847.75,848.25,other,,,,,
848.25,848.75,other,,,,,
848.75,849.25,traffic,,,,,
849.25,849.75,traffic,,,,,
849.75,850.25,traffic,,,,,
850.25,850.75,other,,,,,
850.75,851.25,traffic,,,,,
851.25,851.75,traffic,,,,,
